AgentID,LatentFactor_1,LatentFactor_2,LatentFactor_3,LatentFactor_4,LatentFactor_5,LatentFactor_6,LatentFactor_7,LatentFactor_8,LatentFactor_9,LatentFactor_10
96,0.05964969764121461,0.022422309704259562,0.1293637963279935,0.07135384442947337,0.2427797138108929,0.26418052963260635,0.0,0.5492352270210844,0.10766132485422669,1.840091173675754e-06
97,0.21799716418334145,0.13115948111073236,0.07695459973616982,0.32420414501335404,0.2225232459321938,0.19545539809508208,1.5e-323,0.2157477442178117,0.10382139843536428,0.21079506573821852
98,0.1231718780876699,1.590714416543831e-132,0.17466093454208767,0.3112926926234696,0.1907643025596231,0.13385730512959543,0.28511731057279527,4.3935753003207564e-195,0.13252411156843,0.2872406145282983
99,0.4338947094449408,0.08700108537334394,0.06499149777113383,0.20486642186183773,0.1301588089973289,0.2875593190696983,0.24747184789343377,0.1844608267233611,0.004775403973011368,0.18642598495931195
100,0.011723056043593161,0.04916691984330084,0.10221904756637518,0.12882428309156393,0.020710590655950087,0.26985946592346555,4.1769799157218725e-256,0.38622837734637905,0.18676159873534467,0.2826937942646514
101,0.010488452654325004,0.0,0.15974989268866066,0.34334400092251793,0.1052561400015152,0.26039701763088474,0.0,0.3091677550776315,0.20021156211762123,0.2077479781221805
102,0.5228521978716796,0.023283756829686697,0.11776283457625797,0.10690309783665669,0.17772878313701737,0.13363351553916858,0.21571952538059083,0.33145676058562684,0.13270095666751547,0.0841144889602738
103,1.24e-322,0.025487955864038816,0.30599340192827285,0.07579137657088043,0.2794146525310039,0.24730106103841107,0.0,0.050113585813156544,0.19561574459031858,0.25650032815812224
104,0.02163116145223964,0.0,0.21015880202155446,0.32402920231365995,0.2040329181091424,0.11038939539190609,0.09736334307197599,3.328089263481769e-14,0.27126660196748686,0.21432050864700283
105,0.0,0.23750222786767286,0.024841999718988792,0.1886508848704905,0.2770642425368211,0.18385957447925222,1e-323,0.29581139357258085,0.37003534398452714,0.04343238274447809
106,0.4492705686193862,0.05543754123914318,0.09108957294298213,0.147190093318813,0.0038077346350802615,0.20437147153776533,0.16619238922515653,0.46047210873730504,0.17999347175126826,0.17101094333822878
107,0.4777147729236711,0.07390512398389491,0.19118955662295084,0.23863320343639827,0.10677779986220079,0.037200937666579025,0.25139569795891087,0.43869493949476046,0.17752852031474495,0.021638084745775523
108,0.11490273713552562,0.10667143530444725,0.1649512690373577,0.09773024437428965,0.2717125670524,0.08777094143973527,1.6448795584094707e-295,0.08709623832363658,0.3232698951522861,0.18890259456813802
109,0.45651118767780513,0.1416470085282132,0.15433729765273288,1.97038839429652e-156,0.2725673058246318,0.06214796530191004,0.27642106715671977,0.27976243136710977,0.18301247505126308,0.07151129217687992
110,0.43670958099216184,0.15311512459806945,0.11250849118939579,0.15255645375540663,0.2588025528331208,0.09773331084440505,0.06773899643055864,0.28005587222794837,0.09687057349788576,0.1703807582566593
111,0.39757499311785727,0.06983895845615175,0.3620928453144499,0.11484294604295699,2.3102091905401623e-48,0.1325800782359608,0.2763243675464356,0.44453917129237464,3.7480008008420245e-55,0.07535080415826455
112,0.5354422309890065,0.06241431485048023,0.16119062341913912,0.12144994100208649,0.23118616245757134,0.09872371496522017,0.1732210691819039,0.22004088707637712,0.23106848510393443,0.029057605850155804
113,0.4697883977423407,0.07661202155019001,0.13440462560653393,3.7975450997267245e-53,0.11111159474307701,0.15642751197349433,0.21000294176212347,0.22124144791303757,0.12998206183408717,0.23123863562218164
114,0.19737821028860586,0.0,0.15508611909008044,0.18426200555978955,0.3649958844365599,0.2368086790048829,0.19016843416326928,5.896239095717532e-54,0.024155337613876317,0.1625331278440452
115,0.39786786311420386,0.0792518133953095,0.13600423882003532,1.0754928463529603e-59,0.02202528154371678,0.17240019370283163,0.14885271937196234,0.37873193654210807,0.1892762292118416,0.18545000582024135
116,0.06966276389029269,0.03973469984858826,0.12954044865535025,0.2505116009137778,0.2343309409414011,0.15625054449019093,0.09927236765701697,0.22951129618422747,0.12971042728972162,0.23935988980565062
117,0.5147651964303868,0.1208062191947284,0.10666010408770656,6.059338910135827e-16,0.14961730863738198,0.11134308210177703,0.18484821542482774,0.5654302140093136,0.1638452014976576,0.10785743467449362
118,0.404605252752038,0.11151114101651345,0.06136114181460696,0.2648228832250446,0.27432743211269284,0.09392156774845081,0.19026174047308006,0.10335892576758622,0.14781355017062042,0.08815490274719982
119,0.00862826382275993,0.049538917587499155,0.16489724655792895,0.38017727815715835,0.1979199481906734,0.1326434937397727,0.0,0.23439562972217837,0.2647908725849286,0.036086699773890986
120,0.5212419496358938,0.02474707719278002,0.20311583283074092,0.06847487551108025,0.18816346999482958,0.11586082919282042,0.18681593304567112,0.2362420250855874,0.07206889207338454,0.15175371377579872
121,0.43051877056735166,0.023106006101969525,7.129688673129077e-38,0.11093193072999008,0.12882875587407705,0.18416759925577764,0.23543554458175353,0.44895869547138967,0.2114535283150404,0.10683737877612215
122,0.010478297241048725,0.0,0.16726671395624929,0.2550115320405878,0.1306472428923045,0.1553909958862835,0.0,0.41375243156860325,0.10712686951759742,0.22497452657487113
123,0.0,0.25940468548476886,0.06248839463305198,0.16897783092966426,0.14868683390415938,4.7254797653149e-28,0.161872566317276,0.5587924955918977,0.16730868273596936,0.2826697659625054
124,0.02095555644354035,0.0,0.21659418655339802,0.21974285569981988,0.31549722384287826,0.12594956547248223,0.0,8.211741335056653e-05,0.35834823781756103,0.029042427421269976
125,0.45720173332603525,0.004897425176418645,0.06842980423280687,0.1473527803447678,0.15990787098841566,0.03115099945145942,0.2877889888388475,0.22819665234450887,0.16324445012218608,0.24185881993097558
126,0.4364206366211348,0.05591291338078687,0.0977278436088634,0.2367048898057794,0.18567592152160778,0.23309682284584812,0.1231563329860981,0.18338847554922968,0.053018399502388,0.09562745625160864
127,0.4670768345526684,0.07034692391010286,0.24489253514544812,0.2578845042871068,0.13060738912428774,0.16424421902644773,0.059091445230986556,0.07928197565507887,0.17029818080455048,0.12600042009062581
128,0.49499554865454076,0.059993173847622545,0.10475606386711799,0.1400616988861032,0.2532803038261522,0.09167074610621981,0.22479868110114684,0.07332640628534227,0.05441409905427914,0.22562886855603403
